t,angulo
0.00E+00,1.314853191
1.00E-04,1.313810895
6.60E-02,1.301964605
6.61E-02,1.28104452
1.32E-01,1.250856032
1.32E-01,1.211156536
1.98E-01,1.159954994
1.98E-01,1.101602829
2.31E-01,1.028731875
2.97E-01,0.942648384
2.97E-01,0.849977176
3.63E-01,0.753194658
3.63E-01,0.648790008
4.29E-01,0.538059063
4.29E-01,0.422864043
4.95E-01,0.300309944
4.95E-01,0.17263048
5.61E-01,0.043780297
5.61E-01,-0.083768944
6.27E-01,-0.208654629
6.27E-01,-0.330804011
6.93E-01,-0.439561379
6.93E-01,-0.518122306
7.59E-01,-0.610102736
7.59E-01,-0.693936073
8.25E-01,-0.770326253
8.25E-01,-0.843229259
8.91E-01,-0.907045395
8.91E-01,-0.961430453
9.57E-01,-1.008030916
9.57E-01,-1.048687252
1.02E+00,-1.080558013
1.02E+00,-1.103683088
1.09E+00,-1.113940213
1.09E+00,-1.118154283
1.12E+00,-1.114477511
1.15E+00,-1.102683665
1.19E+00,-1.081056878
1.25E+00,-1.048774585
1.25E+00,-1.007194584
1.32E+00,-0.957698789
1.32E+00,-0.892845578
1.39E+00,-0.828164579
1.39E+00,-0.746556644
1.45E+00,-0.664975005
1.45E+00,-0.576105724
1.52E+00,-0.48353841
1.52E+00,-0.384787208
1.58E+00,-0.285023412
1.58E+00,-0.179297679
1.65E+00,-0.070777979
1.65E+00,0.038615797
1.72E+00,0.146623141
1.72E+00,0.24415319
1.78E+00,0.344083566
1.78E+00,0.436900855
1.85E+00,0.523383592
1.85E+00,0.601757045
1.91E+00,0.674528323
1.91E+00,0.739563452
1.98E+00,0.797106293
1.98E+00,0.84683713
2.05E+00,0.887507512
2.05E+00,0.920805465
2.11E+00,0.946633926
2.11E+00,0.964107966
2.15E+00,0.973038171
2.21E+00,0.973318824
2.21E+00,0.966444821
2.28E+00,0.950927049
2.28E+00,0.926416646
2.34E+00,0.895180847
2.34E+00,0.853313787
2.41E+00,0.80507094
2.41E+00,0.746829826
2.48E+00,0.68055957
2.48E+00,0.607041333
2.54E+00,0.526422432
2.54E+00,0.438782052
2.61E+00,0.346401205
2.61E+00,0.250678326
2.67E+00,0.153922941
2.67E+00,0.055970371
2.74E+00,-0.041402177
2.74E+00,-0.137366331
2.80E+00,-0.229605281
2.81E+00,-0.317716299
2.87E+00,-0.402080245
2.87E+00,-0.482223782
2.94E+00,-0.556952284
2.94E+00,-0.624944857
3.00E+00,-0.685851358
3.00E+00,-0.739176664
3.07E+00,-0.785837056
3.07E+00,-0.825324438
3.10E+00,-0.857847659
